"X","name","image","reviewCount","rating","publishedDate","respondDate","verifiedOrder","title","content","reply","contentLength","id","sentiment"
106,"Ray",NA,1,NA,"2019-11-07","2019-11-08",TRUE,"Absolutely fantastic","absolutely fantastic, my account opened in minutes","Bonjour Souad!Nous apprécions votre commentaire!Merci de partager vos pensées avec nous :)Bonne chance,L'équipe Monese",188,106,-0.346820809248555
110,"André","https://user-images.trustpilot.com/5bf55f245483f4b8a96227a8/73x73.png",2,NA,"2019-11-07","2019-11-07",FALSE,"Terrible customer service","the savings account system is not integrated with their current account","Cześć Patryk!Cieszymy się, że podoba Ci się nasz program premii za polecenia!Dzięki za recenzję!Wszystkiego najlepszego,Zespół Monese",323,110,-0.144508670520231
116,"Ovidiu",NA,1,NA,"2019-11-07","2019-11-07",TRUE,"It would be useful if I could transfer…","it would be useful if i could transfer money from monese to a bank account. also it would be nice to convert money in other currencies than euro and g","Hey there, Barbara!Nice! Speed and simplicity are very important to us. We're happy to hear that you're enjoying your experience with Monese :)Thanks for your review.All the best,The Monese team",240,116,0
119,"Andrii",NA,1,NA,"2019-11-07","2019-11-07",FALSE,"They blocked my account because of the…","they blocked my account because of the transfer to my another bank account","Hello Georgiana!Fair enough! As long as you're happy, we'll be happy as well :)Thanks for your review!All the best,The Monese team",227,119,-1.01156069364162
132,"Tomas",NA,1,NA,"2019-11-06","2019-11-06",TRUE,"I can't add any of my cards","i can't add any of my cards, it always says ""you can not top up with credit card""",NA,119,132,-0.549132947976879
136,"Anne Ramognin",NA,1,NA,"2019-11-05","2019-11-06",FALSE,"Transfer from Brazil","im trying to transfer money from brazil by monese account in uk and used the swift code shown in my account (lhvbee). so now my money will go back to brazil (but they dont know how long that might take) and ill be charged fees on the way back and when arrives back it will be converted on the days fx rate!! ill loose so much money on that!how can it be that it shows a swift code that says it only accepts g and it actually doesnt?? this is so misleading! i just want my money to get into my uk monese account without any loses!","Hi there, Victor!We also love your feedback!Thanks for counting on us :)All the best,The Monese team",647,136,-1.27167630057803
137,"MALOLLAN COMPANY",NA,2,NA,"2019-11-05",NA,FALSE,"I need my 3,000 euros money back Monese","i need my money back monese, my company pays , euros to my monese account, after the money hint the account monese have block my account, i have giving them all the necessary documents they requested but i still dont have access to my fund, however i have requested monese to return the money back to my company account up to date the money has not be returned and is taking too long since st october , i see this as online scam bank","Hello Tomas!We apologize for any inconvenience, but for the moment, only debit cards are allowed for instant top-ups through the app.We're always improving our services so it's very likely that we have news about it in the future, stay tuned!All the best,The Monese team",445,137,-0.809248554913295
145,"Szymon Skrabanek",NA,2,NA,"2019-11-05","2019-11-05",FALSE,"App is OK, support is nonexistent. And they just proved me right."," just yesterday when i tried to pay for a car (signed the contract already, at an official dealership, no less!), this time i've not only got the transfer frozen, but my account was also ""temporarily"" suspended! and with all of this with hand-wavy vague language such as ""security reasons"", etc.if you freeze people's transfers and/or accounts with large amounts of money, you should be calling them immediately(!) to clarify, and not sit around for  days while people are effectively losing money (both freezes and the suspension are making me eend my rental, which is costly!).don't bother calling their support line of course, i've waited over  minutes for an ""average waiting time of  minutes"" only to hear that all support staff is currently unavailable - frustrating! tried calling several times, to no avail. yes, i know what the terms are, i know what the limits are (and i haven't even come close to those limits!).also, do you even read the reviews? i just wrote that i've sent you all of the details and probably more than i was comfortable with sharing (company finances) within  minutes of receiving your notification-of-suspension email",NA,1976,145,-1.90751445086705
158,"Vojta Peter Pilar","https://user-images.trustpilot.com/5d70df6efc2d6364589584f0/73x73.png",2,NA,"2019-11-03","2019-11-04",FALSE,"So much frustration with using this bank","i have been using a monese account for about two weeks and the eerience has been pretty horrendous. finally, someone was able to do this for me only to find out later that it takes a whole day to appear in my account and that they charged me  pounds for it. i understand this is my fault for not being aware of it but the eerience with this was absolutely ridiculous!!! i am going to close this account as soon as i can and i do not recommend this bank to anybody at all!!",NA,1185,158,-0.838150289017341
160,"Chidiebube",NA,1,NA,"2019-11-03","2019-11-04",TRUE,"Very nice internet banking site","very nice internet banking site, debit card arrived very quick","Salut Platini!Nous apprécions vos bons mots :)C'est un plaisir de vous avoir avec nous!Bonne chance,L'équipe Monese",74,160,-0.491329479768786
